trip_id,line_name,scheduled_departure,vehicle_id
T0070,Route 720,2025-10-01 15:00:00,V120
T0071,Route 720,2025-10-01 16:00:00,V121
T0072,Route 720,2025-10-01 17:00:00,V122
T0073,Route 720,2025-10-01 18:00:00,V123
T0074,Route 720,2025-10-01 19:00:00,V124
T0075,Route 720,2025-10-01 20:00:00,V125
T0076,Route 2,2025-10-02 06:00:00,V126
T0077,Route 2,2025-10-02 07:00:00,V127
T0078,Route 2,2025-10-02 08:00:00,V128
T0079,Route 2,2025-10-02 09:00:00,V129
T0080,Route 2,2025-10-02 10:00:00,V130
T0081,Route 2,2025-10-02 11:00:00,V131
T0082,Route 2,2025-10-02 12:00:00,V132
T0083,Route 2,2025-10-02 13:00:00,V133
T0084,Route 2,2025-10-02 14:00:00,V134
T0085,Route 2,2025-10-02 15:00:00,V135
T0086,Route 2,2025-10-02 16:00:00,V136
T0087,Route 2,2025-10-02 17:00:00,V137
T0088,Route 2,2025-10-02 18:00:00,V138
T0089,Route 2,2025-10-02 19:00:00,V139
T0090,Route 2,2025-10-02 20:00:00,V140
T0091,Route 4,2025-10-02 06:00:00,V141
T0092,Route 4,2025-10-02 07:00:00,V142
T0093,Route 4,2025-10-02 08:00:00,V143
T0094,Route 4,2025-10-02 09:00:00,V144
T0095,Route 4,2025-10-02 10:00:00,V145
T0096,Route 4,2025-10-02 11:00:00,V146
T0097,Route 4,2025-10-02 12:00:00,V147
T0098,Route 4,2025-10-02 13:00:00,V148
T0099,Route 4,2025-10-02 14:00:00,V149
T0100,Route 4,2025-10-02 15:00:00,V100
T0101,Route 4,2025-10-02 16:00:00,V101
T0102,Route 4,2025-10-02 17:00:00,V102
T0103,Route 4,2025-10-02 18:00:00,V103
T0104,Route 4,2025-10-02 19:00:00,V104
T0105,Route 4,2025-10-02 20:00:00,V105
T0106,Route 20,2025-10-02 06:00:00,V106
T0107,Route 20,2025-10-02 07:00:00,V107
T0108,Route 20,2025-10-02 08:00:00,V108
T0109,Route 20,2025-10-02 09:00:00,V109
T0110,Route 20,2025-10-02 10:00:00,V110
T0111,Route 20,2025-10-02 11:00:00,V111
T0112,Route 20,2025-10-02 12:00:00,V112
T0113,Route 20,2025-10-02 13:00:00,V113
T0114,Route 20,2025-10-02 14:00:00,V114
T0115,Route 20,2025-10-02 15:00:00,V115
T0116,Route 20,2025-10-02 16:00:00,V116
T0117,Route 20,2025-10-02 17:00:00,V117
T0118,Route 20,2025-10-02 18:00:00,V118
T0119,Route 20,2025-10-02 19:00:00,V119
T0120,Route 20,2025-10-02 20:00:00,V120
T0121,Route 33,2025-10-02 06:00:00,V121
T0122,Route 33,2025-10-02 07:00:00,V122
T0123,Route 33,2025-10-02 08:00:00,V123
T0124,Route 33,2025-10-02 09:00:00,V124
T0125,Route 33,2025-10-02 10:00:00,V125
T0126,Route 33,2025-10-02 11:00:00,V126
T0127,Route 33,2025-10-02 12:00:00,V127
T0128,Route 33,2025-10-02 13:00:00,V128
T0129,Route 33,2025-10-02 14:00:00,V129
T0130,Route 33,2025-10-02 15:00:00,V130
T0131,Route 33,2025-10-02 16:00:00,V131
T0132,Route 33,2025-10-02 17:00:00,V132
T0133,Route 33,2025-10-02 18:00:00,V133
T0134,Route 33,2025-10-02 19:00:00,V134
T0135,Route 33,2025-10-02 20:00:00,V135
T0136,Route 720,2025-10-02 06:00:00,V136
T0137,Route 720,2025-10-02 07:00:00,V137
T0138,Route 720,2025-10-02 08:00:00,V138
T0139,Route 720,2025-10-02 09:00:00,V139
T0140,Route 720,2025-10-02 10:00:00,V140
T0141,Route 720,2025-10-02 11:00:00,V141
T0142,Route 720,2025-10-02 12:00:00,V142
T0143,Route 720,2025-10-02 13:00:00,V143
T0144,Route 720,2025-10-02 14:00:00,V144
T0145,Route 720,2025-10-02 15:00:00,V145
T0146,Route 720,2025-10-02 16:00:00,V146
T0147,Route 720,2025-10-02 17:00:00,V147
T0148,Route 720,2025-10-02 18:00:00,V148
T0149,Route 720,2025-10-02 19:00:00,V149
T0150,Route 720,2025-10-02 20:00:00,V100
T0151,Route 2,2025-10-03 06:00:00,V101
T0152,Route 2,2025-10-03 07:00:00,V102
T0153,Route 2,2025-10-03 08:00:00,V103
T0154,Route 2,2025-10-03 09:00:00,V104
T0155,Route 2,2025-10-03 10:00:00,V105
T0156,Route 2,2025-10-03 11:00:00,V106
T0157,Route 2,2025-10-03 12:00:00,V107
T0158,Route 2,2025-10-03 13:00:00,V108
T0159,Route 2,2025-10-03 14:00:00,V109
T0160,Route 2,2025-10-03 15:00:00,V110
T0161,Route 2,2025-10-03 16:00:00,V111
T0162,Route 2,2025-10-03 17:00:00,V112
T0163,Route 2,2025-10-03 18:00:00,V113
T0164,Route 2,2025-10-03 19:00:00,V114
T0165,Route 2,2025-10-03 20:00:00,V115
T0166,Route 4,2025-10-03 06:00:00,V116
T0167,Route 4,2025-10-03 07:00:00,V117
T0168,Route 4,2025-10-03 08:00:00,V118
T0169,Route 4,2025-10-03 09:00:00,V119
T0170,Route 4,2025-10-03 10:00:00,V120
T0171,Route 4,2025-10-03 11:00:00,V121
T0172,Route 4,2025-10-03 12:00:00,V122
T0173,Route 4,2025-10-03 13:00:00,V123
T0174,Route 4,2025-10-03 14:00:00,V124
T0175,Route 4,2025-10-03 15:00:00,V125
T0176,Route 4,2025-10-03 16:00:00,V126
T0177,Route 4,2025-10-03 17:00:00,V127
T0178,Route 4,2025-10-03 18:00:00,V128
T0179,Route 4,2025-10-03 19:00:00,V129
T0180,Route 4,2025-10-03 20:00:00,V130
T0181,Route 20,2025-10-03 06:00:00,V131
T0182,Route 20,2025-10-03 07:00:00,V132
T0183,Route 20,2025-10-03 08:00:00,V133
T0184,Route 20,2025-10-03 09:00:00,V134
T0185,Route 20,2025-10-03 10:00:00,V135
T0186,Route 20,2025-10-03 11:00:00,V136
T0187,Route 20,2025-10-03 12:00:00,V137
T0188,Route 20,2025-10-03 13:00:00,V138
T0189,Route 20,2025-10-03 14:00:00,V139
T0190,Route 20,2025-10-03 15:00:00,V140
T0191,Route 20,2025-10-03 16:00:00,V141
T0192,Route 20,2025-10-03 17:00:00,V142
T0193,Route 20,2025-10-03 18:00:00,V143
T0194,Route 20,2025-10-03 19:00:00,V144
T0195,Route 20,2025-10-03 20:00:00,V145
T0196,Route 33,2025-10-03 06:00:00,V146
T0197,Route 33,2025-10-03 07:00:00,V147
T0198,Route 33,2025-10-03 08:00:00,V148
T0199,Route 33,2025-10-03 09:00:00,V149
T0200,Route 33,2025-10-03 10:00:00,V100
T0201,Route 33,2025-10-03 11:00:00,V101
T0202,Route 33,2025-10-03 12:00:00,V102
T0203,Route 33,2025-10-03 13:00:00,V103
T0204,Route 33,2025-10-03 14:00:00,V104
T0205,Route 33,2025-10-03 15:00:00,V105
T0206,Route 33,2025-10-03 16:00:00,V106
T0207,Route 33,2025-10-03 17:00:00,V107
T0208,Route 33,2025-10-03 18:00:00,V108
T0209,Route 33,2025-10-03 19:00:00,V109
T0210,Route 33,2025-10-03 20:00:00,V110
T0211,Route 720,2025-10-03 06:00:00,V111
T0212,Route 720,2025-10-03 07:00:00,V112
T0213,Route 720,2025-10-03 08:00:00,V113
T0214,Route 720,2025-10-03 09:00:00,V114
T0215,Route 720,2025-10-03 10:00:00,V115
T0216,Route 720,2025-10-03 11:00:00,V116
T0217,Route 720,2025-10-03 12:00:00,V117
T0218,Route 720,2025-10-03 13:00:00,V118
T0219,Route 720,2025-10-03 14:00:00,V119
T0220,Route 720,2025-10-03 15:00:00,V120
T0221,Route 720,2025-10-03 16:00:00,V121
T0222,Route 720,2025-10-03 17:00:00,V122
T0223,Route 720,2025-10-03 18:00:00,V123
T0224,Route 720,2025-10-03 19:00:00,V124
T0225,Route 720,2025-10-03 20:00:00,V125
T0226,Route 2,2025-10-04 06:00:00,V126
T0227,Route 2,2025-10-04 07:00:00,V127
T0228,Route 2,2025-10-04 08:00:00,V128
T0229,Route 2,2025-10-04 09:00:00,V129
T0230,Route 2,2025-10-04 10:00:00,V130
T0231,Route 2,2025-10-04 11:00:00,V131
T0232,Route 2,2025-10-04 12:00:00,V132
T0233,Route 2,2025-10-04 13:00:00,V133
T0234,Route 2,2025-10-04 14:00:00,V134
T0235,Route 2,2025-10-04 15:00:00,V135
T0236,Route 2,2025-10-04 16:00:00,V136
T0237,Route 2,2025-10-04 17:00:00,V137
T0238,Route 2,2025-10-04 18:00:00,V138
T0239,Route 2,2025-10-04 19:00:00,V139
T0240,Route 2,2025-10-04 20:00:00,V140
T0241,Route 4,2025-10-04 06:00:00,V141
T0242,Route 4,2025-10-04 07:00:00,V142
T0243,Route 4,2025-10-04 08:00:00,V143
T0244,Route 4,2025-10-04 09:00:00,V144
T0245,Route 4,2025-10-04 10:00:00,V145
T0246,Route 4,2025-10-04 11:00:00,V146
T0247,Route 4,2025-10-04 12:00:00,V147
T0248,Route 4,2025-10-04 13:00:00,V148
T0249,Route 4,2025-10-04 14:00:00,V149
T0250,Route 4,2025-10-04 15:00:00,V100
T0251,Route 4,2025-10-04 16:00:00,V101
T0252,Route 4,2025-10-04 17:00:00,V102
T0253,Route 4,2025-10-04 18:00:00,V103
T0254,Route 4,2025-10-04 19:00:00,V104
T0255,Route 4,2025-10-04 20:00:00,V105
T0256,Route 20,2025-10-04 06:00:00,V106
T0257,Route 20,2025-10-04 07:00:00,V107
T0258,Route 20,2025-10-04 08:00:00,V108
T0259,Route 20,2025-10-04 09:00:00,V109
T0260,Route 20,2025-10-04 10:00:00,V110
T0261,Route 20,2025-10-04 11:00:00,V111
T0262,Route 20,2025-10-04 12:00:00,V112
T0263,Route 20,2025-10-04 13:00:00,V113
T0264,Route 20,2025-10-04 14:00:00,V114
T0265,Route 20,2025-10-04 15:00:00,V115
T0266,Route 20,2025-10-04 16:00:00,V116
T0267,Route 20,2025-10-04 17:00:00,V117
T0268,Route 20,2025-10-04 18:00:00,V118
T0269,Route 20,2025-10-04 19:00:00,V119
T0270,Route 20,2025-10-04 20:00:00,V120
T0271,Route 33,2025-10-04 06:00:00,V121
T0272,Route 33,2025-10-04 07:00:00,V122
T0273,Route 33,2025-10-04 08:00:00,V123
T0274,Route 33,2025-10-04 09:00:00,V124
T0275,Route 33,2025-10-04 10:00:00,V125
T0276,Route 33,2025-10-04 11:00:00,V126
T0277,Route 33,2025-10-04 12:00:00,V127
T0278,Route 33,2025-10-04 13:00:00,V128
T0279,Route 33,2025-10-04 14:00:00,V129
T0280,Route 33,2025-10-04 15:00:00,V130
T0281,Route 33,2025-10-04 16:00:00,V131
T0282,Route 33,2025-10-04 17:00:00,V132
T0283,Route 33,2025-10-04 18:00:00,V133
T0284,Route 33,2025-10-04 19:00:00,V134
T0285,Route 33,2025-10-04 20:00:00,V135
T0286,Route 720,2025-10-04 06:00:00,V136
T0287,Route 720,2025-10-04 07:00:00,V137
T0288,Route 720,2025-10-04 08:00:00,V138
T0289,Route 720,2025-10-04 09:00:00,V139
T0290,Route 720,2025-10-04 10:00:00,V140
T0291,Route 720,2025-10-04 11:00:00,V141
T0292,Route 720,2025-10-04 12:00:00,V142
T0293,Route 720,2025-10-04 13:00:00,V143
T0294,Route 720,2025-10-04 14:00:00,V144
T0295,Route 720,2025-10-04 15:00:00,V145
T0296,Route 720,2025-10-04 16:00:00,V146
T0297,Route 720,2025-10-04 17:00:00,V147
T0298,Route 720,2025-10-04 18:00:00,V148
T0299,Route 720,2025-10-04 19:00:00,V149
T0300,Route 720,2025-10-04 20:00:00,V100
T0301,Route 2,2025-10-05 06:00:00,V101
T0302,Route 2,2025-10-05 07:00:00,V102
T0303,Route 2,2025-10-05 08:00:00,V103
T0304,Route 2,2025-10-05 09:00:00,V104
T0305,Route 2,2025-10-05 10:00:00,V105
T0306,Route 2,2025-10-05 11:00:00,V106
T0307,Route 2,2025-10-05 12:00:00,V107
T0308,Route 2,2025-10-05 13:00:00,V108
T0309,Route 2,2025-10-05 14:00:00,V109
T0310,Route 2,2025-10-05 15:00:00,V110
T0311,Route 2,2025-10-05 16:00:00,V111
T0312,Route 2,2025-10-05 17:00:00,V112
T0313,Route 2,2025-10-05 18:00:00,V113
T0314,Route 2,2025-10-05 19:00:00,V114
T0315,Route 2,2025-10-05 20:00:00,V115
T0316,Route 4,2025-10-05 06:00:00,V116
T0317,Route 4,2025-10-05 07:00:00,V117
T0318,Route 4,2025-10-05 08:00:00,V118
T0319,Route 4,2025-10-05 09:00:00,V119
T0320,Route 4,2025-10-05 10:00:00,V120
T0321,Route 4,2025-10-05 11:00:00,V121
T0322,Route 4,2025-10-05 12:00:00,V122
T0323,Route 4,2025-10-05 13:00:00,V123
T0324,Route 4,2025-10-05 14:00:00,V124
T0325,Route 4,2025-10-05 15:00:00,V125
T0326,Route 4,2025-10-05 16:00:00,V126
T0327,Route 4,2025-10-05 17:00:00,V127
T0328,Route 4,2025-10-05 18:00:00,V128
T0329,Route 4,2025-10-05 19:00:00,V129
T0330,Route 4,2025-10-05 20:00:00,V130
T0331,Route 20,2025-10-05 06:00:00,V131
T0332,Route 20,2025-10-05 07:00:00,V132
T0333,Route 20,2025-10-05 08:00:00,V133
T0334,Route 20,2025-10-05 09:00:00,V134
T0335,Route 20,2025-10-05 10:00:00,V135
T0336,Route 20,2025-10-05 11:00:00,V136
T0337,Route 20,2025-10-05 12:00:00,V137
T0338,Route 20,2025-10-05 13:00:00,V138
T0339,Route 20,2025-10-05 14:00:00,V139
T0340,Route 20,2025-10-05 15:00:00,V140
T0341,Route 20,2025-10-05 16:00:00,V141
T0342,Route 20,2025-10-05 17:00:00,V142
T0343,Route 20,2025-10-05 18:00:00,V143
T0344,Route 20,2025-10-05 19:00:00,V144
T0345,Route 20,2025-10-05 20:00:00,V145
T0346,Route 33,2025-10-05 06:00:00,V146
T0347,Route 33,2025-10-05 07:00:00,V147
T0348,Route 33,2025-10-05 08:00:00,V148
T0349,Route 33,2025-10-05 09:00:00,V149
T0350,Route 33,2025-10-05 10:00:00,V100
T0351,Route 33,2025-10-05 11:00:00,V101
T0352,Route 33,2025-10-05 12:00:00,V102
T0353,Route 33,2025-10-05 13:00:00,V103
T0354,Route 33,2025-10-05 14:00:00,V104
T0355,Route 33,2025-10-05 15:00:00,V105
T0356,Route 33,2025-10-05 16:00:00,V106
T0357,Route 33,2025-10-05 17:00:00,V107
T0358,Route 33,2025-10-05 18:00:00,V108
T0359,Route 33,2025-10-05 19:00:00,V109
T0360,Route 33,2025-10-05 20:00:00,V110
T0361,Route 720,2025-10-05 06:00:00,V111
T0362,Route 720,2025-10-05 07:00:00,V112
T0363,Route 720,2025-10-05 08:00:00,V113
T0364,Route 720,2025-10-05 09:00:00,V114
T0365,Route 720,2025-10-05 10:00:00,V115
T0366,Route 720,2025-10-05 11:00:00,V116
T0367,Route 720,2025-10-05 12:00:00,V117
T0368,Route 720,2025-10-05 13:00:00,V118
T0369,Route 720,2025-10-05 14:00:00,V119
T0370,Route 720,2025-10-05 15:00:00,V120
T0371,Route 720,2025-10-05 16:00:00,V121
T0372,Route 720,2025-10-05 17:00:00,V122
T0373,Route 720,2025-10-05 18:00:00,V123
T0374,Route 720,2025-10-05 19:00:00,V124
T0375,Route 720,2025-10-05 20:00:00,V125
T0376,Route 2,2025-10-06 06:00:00,V126
T0377,Route 2,2025-10-06 07:00:00,V127
T0378,Route 2,2025-10-06 08:00:00,V128
T0379,Route 2,2025-10-06 09:00:00,V129
T0380,Route 2,2025-10-06 10:00:00,V130
T0381,Route 2,2025-10-06 11:00:00,V131
T0382,Route 2,2025-10-06 12:00:00,V132
T0383,Route 2,2025-10-06 13:00:00,V133
T0384,Route 2,2025-10-06 14:00:00,V134
T0385,Route 2,2025-10-06 15:00:00,V135
T0386,Route 2,2025-10-06 16:00:00,V136
T0387,Route 2,2025-10-06 17:00:00,V137
T0388,Route 2,2025-10-06 18:00:00,V138
T0389,Route 2,2025-10-06 19:00:00,V139
T0390,Route 2,2025-10-06 20:00:00,V140
T0391,Route 4,2025-10-06 06:00:00,V141
T0392,Route 4,2025-10-06 07:00:00,V142
T0393,Route 4,2025-10-06 08:00:00,V143
T0394,Route 4,2025-10-06 09:00:00,V144
T0395,Route 4,2025-10-06 10:00:00,V145
T0396,Route 4,2025-10-06 11:00:00,V146
T0397,Route 4,2025-10-06 12:00:00,V147
T0398,Route 4,2025-10-06 13:00:00,V148
T0399,Route 4,2025-10-06 14:00:00,V149
T0400,Route 4,2025-10-06 15:00:00,V100
T0401,Route 4,2025-10-06 16:00:00,V101
T0402,Route 4,2025-10-06 17:00:00,V102
T0403,Route 4,2025-10-06 18:00:00,V103
T0404,Route 4,2025-10-06 19:00:00,V104
T0405,Route 4,2025-10-06 20:00:00,V105
T0406,Route 20,2025-10-06 06:00:00,V106
T0407,Route 20,2025-10-06 07:00:00,V107
T0408,Route 20,2025-10-06 08:00:00,V108
T0409,Route 20,2025-10-06 09:00:00,V109
T0410,Route 20,2025-10-06 10:00:00,V110
T0411,Route 20,2025-10-06 11:00:00,V111
T0412,Route 20,2025-10-06 12:00:00,V112
T0413,Route 20,2025-10-06 13:00:00,V113
T0414,Route 20,2025-10-06 14:00:00,V114
T0415,Route 20,2025-10-06 15:00:00,V115
T0416,Route 20,2025-10-06 16:00:00,V116
T0417,Route 20,2025-10-06 17:00:00,V117
T0418,Route 20,2025-10-06 18:00:00,V118
T0419,Route 20,2025-10-06 19:00:00,V119
T0420,Route 20,2025-10-06 20:00:00,V120
T0421,Route 33,2025-10-06 06:00:00,V121
T0422,Route 33,2025-10-06 07:00:00,V122
T0423,Route 33,2025-10-06 08:00:00,V123
T0424,Route 33,2025-10-06 09:00:00,V124
T0425,Route 33,2025-10-06 10:00:00,V125
T0426,Route 33,2025-10-06 11:00:00,V126
T0427,Route 33,2025-10-06 12:00:00,V127
T0428,Route 33,2025-10-06 13:00:00,V128
T0429,Route 33,2025-10-06 14:00:00,V129
T0430,Route 33,2025-10-06 15:00:00,V130
T0431,Route 33,2025-10-06 16:00:00,V131
T0432,Route 33,2025-10-06 17:00:00,V132
T0433,Route 33,2025-10-06 18:00:00,V133
T0434,Route 33,2025-10-06 19:00:00,V134
T0435,Route 33,2025-10-06 20:00:00,V135
T0436,Route 720,2025-10-06 06:00:00,V136
T0437,Route 720,2025-10-06 07:00:00,V137
T0438,Route 720,2025-10-06 08:00:00,V138
T0439,Route 720,2025-10-06 09:00:00,V139
T0440,Route 720,2025-10-06 10:00:00,V140
T0441,Route 720,2025-10-06 11:00:00,V141
T0442,Route 720,2025-10-06 12:00:00,V142
T0443,Route 720,2025-10-06 13:00:00,V143
T0444,Route 720,2025-10-06 14:00:00,V144
T0445,Route 720,2025-10-06 15:00:00,V145
T0446,Route 720,2025-10-06 16:00:00,V146
T0447,Route 720,2025-10-06 17:00:00,V147
T0448,Route 720,2025-10-06 18:00:00,V148
T0449,Route 720,2025-10-06 19:00:00,V149
T0450,Route 720,2025-10-06 20:00:00,V100
T0451,Route 2,2025-10-07 06:00:00,V101
T0452,Route 2,2025-10-07 07:00:00,V102
T0453,Route 2,2025-10-07 08:00:00,V103
T0454,Route 2,2025-10-07 09:00:00,V104
T0455,Route 2,2025-10-07 10:00:00,V105
T0456,Route 2,2025-10-07 11:00:00,V106
T0457,Route 2,2025-10-07 12:00:00,V107
T0458,Route 2,2025-10-07 13:00:00,V108
T0459,Route 2,2025-10-07 14:00:00,V109
T0460,Route 2,2025-10-07 15:00:00,V110
T0461,Route 2,2025-10-07 16:00:00,V111
T0462,Route 2,2025-10-07 17:00:00,V112
T0463,Route 2,2025-10-07 18:00:00,V113
T0464,Route 2,2025-10-07 19:00:00,V114
T0465,Route 2,2025-10-07 20:00:00,V115
T0466,Route 4,2025-10-07 06:00:00,V116
T0467,Route 4,2025-10-07 07:00:00,V117
T0468,Route 4,2025-10-07 08:00:00,V118
T0469,Route 4,2025-10-07 09:00:00,V119
T0470,Route 4,2025-10-07 10:00:00,V120
T0471,Route 4,2025-10-07 11:00:00,V121
T0472,Route 4,2025-10-07 12:00:00,V122
T0473,Route 4,2025-10-07 13:00:00,V123
T0474,Route 4,2025-10-07 14:00:00,V124
T0475,Route 4,2025-10-07 15:00:00,V125
T0476,Route 4,2025-10-07 16:00:00,V126
T0477,Route 4,2025-10-07 17:00:00,V127
T0478,Route 4,2025-10-07 18:00:00,V128
T0479,Route 4,2025-10-07 19:00:00,V129
T0480,Route 4,2025-10-07 20:00:00,V130
T0481,Route 20,2025-10-07 06:00:00,V131
T0482,Route 20,2025-10-07 07:00:00,V132
T0483,Route 20,2025-10-07 08:00:00,V133
T0484,Route 20,2025-10-07 09:00:00,V134
T0485,Route 20,2025-10-07 10:00:00,V135
T0486,Route 20,2025-10-07 11:00:00,V136
T0487,Route 20,2025-10-07 12:00:00,V137
T0488,Route 20,2025-10-07 13:00:00,V138
T0489,Route 20,2025-10-07 14:00:00,V139
T0490,Route 20,2025-10-07 15:00:00,V140
T0491,Route 20,2025-10-07 16:00:00,V141
T0492,Route 20,2025-10-07 17:00:00,V142
T0493,Route 20,2025-10-07 18:00:00,V143
T0494,Route 20,2025-10-07 19:00:00,V144
T0495,Route 20,2025-10-07 20:00:00,V145
T0496,Route 33,2025-10-07 06:00:00,V146
T0497,Route 33,2025-10-07 07:00:00,V147
T0498,Route 33,2025-10-07 08:00:00,V148
T0499,Route 33,2025-10-07 09:00:00,V149
T0500,Route 33,2025-10-07 10:00:00,V100
T0501,Route 33,2025-10-07 11:00:00,V101
T0502,Route 33,2025-10-07 12:00:00,V102
T0503,Route 33,2025-10-07 13:00:00,V103
T0504,Route 33,2025-10-07 14:00:00,V104
T0505,Route 33,2025-10-07 15:00:00,V105
T0506,Route 33,2025-10-07 16:00:00,V106
T0507,Route 33,2025-10-07 17:00:00,V107
T0508,Route 33,2025-10-07 18:00:00,V108
T0509,Route 33,2025-10-07 19:00:00,V109
T0510,Route 33,2025-10-07 20:00:00,V110
T0511,Route 720,2025-10-07 06:00:00,V111
T0512,Route 720,2025-10-07 07:00:00,V112
T0513,Route 720,2025-10-07 08:00:00,V113
T0514,Route 720,2025-10-07 09:00:00,V114
T0515,Route 720,2025-10-07 10:00:00,V115
T0516,Route 720,2025-10-07 11:00:00,V116
T0517,Route 720,2025-10-07 12:00:00,V117
T0518,Route 720,2025-10-07 13:00:00,V118
T0519,Route 720,2025-10-07 14:00:00,V119
T0520,Route 720,2025-10-07 15:00:00,V120
T0521,Route 720,2025-10-07 16:00:00,V121
T0522,Route 720,2025-10-07 17:00:00,V122
T0523,Route 720,2025-10-07 18:00:00,V123
T0524,Route 720,2025-10-07 19:00:00,V124
T0525,Route 720,2025-10-07 20:00:00,V125
